timestamp,open,high,low,close,volume
2023-01-01 00:00:00,16541.77000000,16545.70000000,16508.39000000,16529.67000000,4364.83570000
2023-01-01 01:00:00,16529.59000000,16556.80000000,16525.78000000,16551.47000000,3590.06669000
2023-01-01 02:00:00,16551.47000000,16559.77000000,16538.14000000,16548.19000000,3318.84038000
2023-01-01 03:00:00,16548.19000000,16548.19000000,16518.21000000,16533.04000000,4242.08050000
2023-01-01 04:00:00,16533.04000000,16535.97000000,16511.92000000,16521.85000000,4285.00909000
2023-01-01 05:00:00,16522.22000000,16534.98000000,16512.30000000,16530.71000000,3717.37178000
2023-01-01 06:00:00,16530.71000000,16550.00000000,16528.81000000,16539.79000000,3344.90206000
2023-01-01 07:00:00,16539.79000000,16544.57000000,16499.01000000,16526.19000000,5184.95822000
2023-01-01 08:00:00,16525.70000000,16534.03000000,16508.45000000,16513.34000000,4271.92023000
2023-01-01 09:00:00,16513.33000000,16542.49000000,16505.20000000,16537.88000000,4100.75049000
2023-01-01 10:00:00,16538.32000000,16548.71000000,16533.42000000,16548.34000000,3803.76616000
2023-01-01 11:00:00,16547.98000000,16557.00000000,16540.20000000,16556.66000000,3739.53013000
2023-01-01 12:00:00,16556.66000000,16572.94000000,16548.58000000,16560.93000000,4150.48564000
2023-01-01 13:00:00,16561.29000000,16567.26000000,16539.05000000,16548.04000000,4379.68203000
2023-01-01 14:00:00,16547.61000000,16558.56000000,16540.85000000,16542.94000000,3294.99093000
2023-01-01 15:00:00,16542.94000000,16559.99000000,16533.68000000,16558.73000000,3220.93236000
2023-01-01 16:00:00,16558.73000000,16584.66000000,16558.00000000,16565.14000000,4962.13235000
2023-01-01 17:00:00,16565.13000000,16596.64000000,16562.51000000,16578.85000000,4714.40354000
2023-01-01 18:00:00,16579.25000000,16603.89000000,16578.85000000,16591.88000000,4146.37245000
2023-01-01 19:00:00,16591.35000000,16623.65000000,16591.34000000,16603.08000000,4709.74023000
2023-01-01 20:00:00,16603.53000000,16628.00000000,16600.55000000,16604.51000000,4189.05318000
2023-01-01 21:00:00,16604.51000000,16608.83000000,16592.63000000,16606.68000000,3656.77804000
2023-01-01 22:00:00,16607.02000000,16613.85000000,16586.24000000,16602.12000000,3690.19661000
2023-01-01 23:00:00,16602.39000000,16625.00000000,16600.80000000,16616.75000000,3846.61495000
2023-01-02 00:00:00,16617.17000000,16629.05000000,16581.25000000,16588.35000000,4327.06948000
2023-01-02 01:00:00,16587.97000000,16589.20000000,16548.70000000,16565.04000000,5791.85443000
2023-01-02 02:00:00,16565.03000000,16595.92000000,16555.00000000,16587.85000000,3150.41571000
2023-01-02 03:00:00,16587.99000000,16707.25000000,16581.80000000,16661.94000000,6194.13548000
2023-01-02 04:00:00,16662.38000000,16674.84000000,16629.29000000,16639.44000000,4983.39445000
2023-01-02 05:00:00,16639.74000000,16662.94000000,16619.44000000,16647.58000000,4976.78402000
2023-01-02 06:00:00,16648.37000000,16663.27000000,16635.93000000,16641.10000000,3210.61774000
2023-01-02 07:00:00,16641.10000000,16769.51000000,16637.44000000,16721.28000000,12856.08557000
2023-01-02 08:00:00,16721.27000000,16772.01000000,16707.52000000,16733.71000000,7080.81126000
2023-01-02 09:00:00,16733.71000000,16745.68000000,16710.54000000,16717.50000000,5599.20896000
2023-01-02 10:00:00,16717.50000000,16762.86000000,16708.68000000,16727.95000000,5892.57705000
2023-01-02 11:00:00,16727.72000000,16741.72000000,16704.07000000,16735.11000000,4695.34392000
2023-01-02 12:00:00,16735.51000000,16746.29000000,16719.30000000,16721.54000000,4262.00363000
2023-01-02 13:00:00,16721.96000000,16725.60000000,16685.00000000,16694.78000000,5598.29706000
2023-01-02 14:00:00,16695.12000000,16710.41000000,16669.15000000,16698.69000000,5460.35075000
2023-01-02 15:00:00,16698.69000000,16750.00000000,16692.01000000,16734.66000000,6426.56347000
2023-01-02 16:00:00,16734.66000000,16739.64000000,16708.23000000,16710.88000000,3861.02010000
2023-01-02 17:00:00,16710.69000000,16723.00000000,16707.12000000,16715.42000000,3035.91493000
2023-01-02 18:00:00,16715.42000000,16731.71000000,16707.47000000,16723.81000000,2810.69400000
2023-01-02 19:00:00,16723.64000000,16738.22000000,16715.88000000,16737.56000000,2607.10750000
2023-01-02 20:00:00,16737.56000000,16738.23000000,16709.29000000,16728.52000000,2881.53898000
2023-01-02 21:00:00,16728.52000000,16799.23000000,16718.41000000,16757.76000000,3771.07914000
2023-01-02 22:00:00,16757.76000000,16763.78000000,16690.18000000,16698.40000000,5609.15100000
2023-01-02 23:00:00,16698.40000000,16722.98000000,16660.51000000,16672.87000000,6806.55328000
2023-01-03 00:00:00,16672.78000000,16706.14000000,16647.81000000,16695.59000000,5684.61483000
